test_id,heuristic,found,path_length,total_cost,nodes_expanded,execution_time_ms,width,height,obstacle_prob
1,manhattan,True,39,92.85656876025604,301,0.7659000038984232,20,20,0.2
1,euclidean,True,39,92.85656876025604,321,1.342899995506741,20,20,0.2
2,manhattan,True,41,95.6634580388689,269,0.6634000019403175,20,20,0.3
2,euclidean,True,41,95.6634580388689,277,0.6971999973757192,20,20,0.3
3,manhattan,True,49,120.6324701560181,441,1.1027000000467524,25,25,0.25
3,euclidean,True,49,120.6324701560181,455,1.1635000046226196,25,25,0.25
4,manhattan,True,51,144.47794402492025,416,1.018900002236478,25,25,0.35
4,euclidean,True,51,144.47794402492025,416,1.0390000024926849,25,25,0.35
5,manhattan,True,59,147.69489241785496,760,1.9469999970169738,30,30,0.2
5,euclidean,True,59,147.69489241785496,766,1.9992000015918165,30,30,0.2
6,manhattan,True,61,154.31612029383035,646,1.6084000017144717,30,30,0.3
6,euclidean,True,61,154.31612029383035,639,1.6135000041685998,30,30,0.3
7,manhattan,True,69,152.32687476802644,901,2.311199998075608,35,35,0.25
7,euclidean,True,69,152.32687476802644,911,2.373000002990011,35,35,0.25
8,manhattan,True,73,194.17813259617984,836,2.1286999981384724,35,35,0.3
8,euclidean,True,73,194.17813259617984,852,2.3461000018869527,35,35,0.3
9,manhattan,True,79,176.89430253648672,1358,6.5700999984983355,40,40,0.22
9,euclidean,True,79,176.89430253648672,1354,4.557099993689917,40,40,0.22
10,manhattan,True,87,213.2514465004809,1219,3.082900002482347,40,40,0.28
10,euclidean,True,87,213.2514465004809,1212,3.3494999952381477,40,40,0.28
